ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sugar,Cholesterol,Sodium,Iron,Calcium,SaturatedFat,Potassium,VitaminC,VitaminE,VitaminD
1001,"BUTTER,WITH SALT",717,0.85,81.11,0.06,0.06,215,714,0.02,24,51.368,24,0,2.32,1.5
1002,"BUTTER,WHIPPED,WITH SALT",717,0.85,81.11,0.06,0.06,219,827,0.16,24,50.489,26,0,2.32,1.5
1003,"BUTTER OIL,ANHYDROUS",876,0.28,99.48,0,0,256,2,0,4,61.924,5,0,2.8,1.8
1004,"CHEESE,BLUE",353,21.4,28.74,2.34,0.5,75,1395,0.31,528,18.669,256,0,0.25,0.5
1005,"CHEESE,BRICK",371,23.24,29.68,2.79,0.51,94,560,0.43,674,18.764,136,0,0.26,0.5
1006,"CHEESE,BRIE",334,20.75,27.68,0.45,0.45,100,629,0.5,184,17.41,152,0,0.24,0.5
1007,"CHEESE,CAMEMBERT",300,19.8,24.26,0.46,0.46,72,842,0.33,388,15.259,187,0,0.21,0.4
1008,"CHEESE,CARAWAY",376,25.18,29.2,3.06,,93,690,0.64,673,18.584,93,0,,
1009,"CHEESE,CHEDDAR",403,24.9,33.14,1.28,0.52,105,621,0.68,721,21.092,98,0,0.29,0.6
1010,"CHEESE,CHESHIRE",387,23.37,30.6,4.78,,103,700,0.21,643,19.475,95,0,,
1011,"CHEESE,COLBY",394,23.76,32.11,2.57,0.52,95,604,0.76,685,20.218,127,0,0.28,0.6
1012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98,11.12,4.3,3.38,2.67,17,364,0.07,83,1.718,104,0,0.08,0.1
1013,"CHEESE,COTTAGE,CRMD,W/FRUIT",97,10.69,3.85,4.61,2.38,13,344,0.16,53,2.311,90,1.4,0.04,0
1014,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72,10.34,0.29,6.66,1.85,7,330,0.15,86,0.169,137,0,0.01,0
1015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",86,11.83,2.45,3.66,3.67,10,330,0.15,91,0.979,84,0,0.04,0
1016,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72,12.39,1.02,2.72,2.72,4,406,0.14,61,0.645,86,0,0.01,0
1017,"CHEESE,CREAM",342,5.93,34.24,4.07,3.21,110,321,0.38,98,19.292,138,0,0.29,0.6
1018,"CHEESE,EDAM",357,24.99,27.8,1.43,1.43,89,965,0.44,731,17.572,188,0,0.24,0.5
1019,"CHEESE,FETA",264,14.21,21.28,4.09,4.09,89,1116,0.65,493,14.946,62,0,0.18,0.4
1020,"CHEESE,FONTINA",389,25.6,31.14,1.55,1.55,116,800,0.23,550,19.196,64,0,0.27,0.6
1021,"CHEESE,GJETOST",466,9.65,29.51,42.65,,94,600,0.52,400,19.16,1409,0,,
1022,"CHEESE,GOUDA",356,24.94,27.44,2.22,2.22,114,819,0.24,700,17.614,121,0,0.24,0.5
1023,"CHEESE,GRUYERE",413,29.81,32.34,0.36,0.36,110,336,0.17,1011,18.913,81,0,0.28,0.6
1024,"CHEESE,LIMBURGER",327,20.05,27.25,0.49,0.49,90,800,0.13,497,16.746,128,0,0.23,0.5
1025,"CHEESE,MONTEREY",373,24.48,30.28,0.68,0.5,89,536,0.72,746,19.066,81,0,0.26,0.6
1026,"CHEESE,MOZZARELLA,WHL MILK",300,22.17,22.35,2.19,1.03,79,627,0.44,505,13.152,76,0,0.19,0.4
1027,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318,21.6,24.64,2.47,1.01,89,415,0.2,575,15.561,75,0,0.21,0.5
1028,"CHEESE,MOZZARELLA,PART SKIM MILK",254,24.26,15.92,2.77,1.13,64,619,0.22,782,10.114,84,0,0.14,0.3
1029,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",302,25.96,20.03,3.83,0.6,54,652,0.25,731,10.877,95,0,0.37,0.4
1030,"CHEESE,MUENSTER",368,23.41,30.04,1.12,1.12,96,628,0.41,717,19.113,134,0,0.26,0.6
1031,"CHEESE,NEUFCHATEL",253,9.15,22.78,3.59,3.19,74,334,0.13,117,12.79,152,0,0.4,
1032,"CHEESE,PARMESAN,GRATED",431,38.46,28.61,4.06,0.9,88,1529,0.9,1109,17.301,125,0,0.25,0.5
1033,"CHEESE,PARMESAN,HARD",392,35.75,25.83,3.22,0.8,68,1602,0.82,1184,16.41,92,0,0.22,0.5
1034,"CHEESE,PORT DE SALUT",352,23.78,28.2,0.57,0.57,123,534,0.43,650,16.691,136,0,0.24,0.5
1035,"CHEESE,PROVOLONE",351,25.58,26.62,2.14,0.56,69,876,0.52,756,17.078,138,0,0.23,0.5
1036,"CHEESE,RICOTTA,WHOLE MILK",174,11.26,12.98,3.04,0.27,51,84,0.38,207,8.295,105,0,0.11,0.2
1037,"CHEESE,RICOTTA,PART SKIM MILK",138,11.39,7.91,5.14,0.31,31,125,0.44,272,4.927,125,0,0.07,0.1
1038,"CHEESE,ROMANO",387,31.8,26.94,3.63,0.73,104,1200,0.77,1064,17.115,86,0,0.23,0.5
1039,"CHEESE,ROQUEFORT",369,21.54,30.64,2,,90,1809,0.56,662,19.263,91,0,,
1040,"CHEESE,SWISS",380,26.93,27.8,5.38,1.32,92,192,0.2,791,17.779,77,0,0.38,0.5
1041,"CHEESE,TILSIT",340,24.41,25.98,1.88,,102,753,0.23,700,16.775,65,0,,
1042,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",371,18.13,31.79,3.7,2.26,100,1671,0.63,1045,18.057,132,0,0.8,7.5
1043,"CHEESE,PAST PROCESS,PIMENTO",375,22.13,31.2,1.73,0.62,94,1428,0.42,614,19.663,162,2.3,0.29,0.5
1044,"CHEESE,PAST PROCESS,SWISS",334,24.73,25.01,2.1,1.23,85,1370,0.61,772,16.045,216,0,0.34,0.5
1045,"CHEESE FD,COLD PK,AMERICAN",331,19.66,24.46,8.32,,64,966,0.84,497,15.355,363,0,,
1046,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",330,16.86,25.63,8.56,5.59,98,1284,0.26,682,15.057,255,0,0.63,2.5
1047,"CHEESE FD,PAST PROCESS,SWISS",323,21.92,24.14,4.5,,82,1552,0.6,723,15.487,284,0,,
1048,"CHEESE SPRD,PAST PROCESS,AMERICAN",290,16.41,21.23,8.73,7.32,55,1625,0.33,562,13.327,242,0,0.19,0.4
1049,"CREAM,FLUID,HALF AND HALF",130,2.96,11.5,4.3,0.16,37,41,0.07,105,7.158,130,0.9,0.33,0.2
1050,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",195,2.7,19.31,3.66,0.14,66,40,0.04,96,12.02,122,0.8,0.55,0.4
1052,"CREAM,FLUID,LT WHIPPING",292,2.17,30.91,2.96,0.11,111,34,0.03,69,19.337,97,0.6,0.88,0.6
1053,"CREAM,FLUID,HVY WHIPPING",345,2.05,37,2.79,0.11,137,38,0.03,65,23.032,75,0.6,1.06,0.7
1054,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257,3.2,22.22,12.49,8,76,8,0.05,101,13.831,147,0,0.64,0.4
1055,"CREAM,SOUR,RED FAT,CULTURED",135,2.94,12,4.26,0.16,39,89,0.07,104,7.47,129,0.9,0.34,0.2
1056,"CREAM,SOUR,CULTURED",193,2.07,19.73,2.88,2.88,52,80,0.17,110,11.507,141,0.9,0.44,0.4
1057,EGGNOG,88,4.55,4.19,8.05,8.05,59,54,0.2,130,2.591,165,1.5,0.21,1.2
1058,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",178,3.25,16.57,4.68,4.68,5,48,0.03,113,13.272,162,0.9,1.34,0
1059,"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",63,3.33,3.46,4.74,,2,57,0.05,128,0.768,139,0.9,,
1060,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",63,3.33,3.4,4.74,4.74,2,57,0.05,128,3.101,139,0.9,0.13,0
1067,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",136,1,9.97,11.38,11.38,0,79,0.03,9,1.937,191,0,0.81,0
1068,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",136,1,9.97,11.38,,0,79,0.03,9,9.304,191,0,,
1069,"CREAM SUBSTITUTE,POWDERED",545,4.79,35.48,54.88,54.88,0,181,1.15,22,32.525,812,0,0.59,0
1070,"DESSERT TOPPING,POWDERED",577,4.9,39.92,52.54,52.54,0,122,0.03,17,36.723,166,0,1.52,0
1071,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",194,3.61,12.72,17.13,17.13,10,66,0.04,90,10.684,151,0.7,0.45,0.9
1072,"DESSERT TOPPING,PRESSURIZED",264,0.98,22.3,16.07,16.07,0,62,0.02,5,18.912,19,0,0.85,0
1073,"DESSERT TOPPING,SEMI SOLID,FRZ",318,1.25,25.31,23.05,23.05,0,25,0.12,6,21.783,18,0,0.96,0
1074,"SOUR CRM,IMITN,CULTURED",208,2.4,19.52,6.63,6.63,0,102,0.39,3,17.791,161,0,0.74,0
1076,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",61,1.75,3.41,6.16,,0,78,0.39,33,3.037,114,0,,
1077,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",61,3.15,3.25,4.8,5.05,10,43,0.03,113,1.865,132,0,0.07,1.3
1078,"MILK,PRODUCER,FLUID,3.7% MILKFAT",64,3.28,3.66,4.65,,14,49,0.05,119,2.278,151,1.5,,
1079,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",50,3.3,1.98,4.8,5.06,8,47,0.02,120,1.257,140,0.2,0.03,1.2
1080,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",51,3.48,1.92,4.97,,8,52,0.05,128,1.195,162,1,,1
1081,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",56,3.95,1.98,5.49,5.26,8,59,0.06,143,1.232,182,1.1,0.04,1
1082,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",42,3.37,0.97,4.99,5.2,5,44,0.03,125,0.633,150,0,0.01,1.2
1083,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",43,3.48,0.97,4.97,,4,52,0.05,128,0.604,162,1,,1
1084,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",48,3.93,1.17,5.52,,4,58,0.06,142,0.728,180,1.2,,1
1085,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34,3.37,0.08,4.96,5.09,2,42,0.03,122,0.056,156,0,0.01,1.2
1086,"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",37,3.57,0.25,5.02,5.02,2,53,0.05,129,0.162,171,1,0.01,1.2
1087,"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",41,3.96,0.25,5.56,,2,59,0.06,143,0.162,182,1.1,,1
1088,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40,3.31,0.88,4.79,4.79,4,105,0.05,116,0.548,151,1,0.05,0
1089,"MILK,LO NA,FLUID",61,3.1,3.46,4.46,4.46,14,3,0.05,101,2.154,253,0.9,0.08,1.3
1090,"MILK,DRY,WHL,W/ ADDED VITAMIN D",496,26.32,26.71,38.42,38.42,97,371,0.47,912,16.742,1330,8.6,0.58,10.5
1091,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",362,36.16,0.77,51.98,51.98,20,535,0.32,1257,0.499,1794,6.8,0,0
1092,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358,35.1,0.72,52.19,52.19,18,549,0.31,1231,0.467,1705,5.6,0.01,11
1093,"MILK,DRY,NONFAT,CA RED",354,35.5,0.2,51.8,,2,2280,0.32,280,0.124,680,6.7,,
1094,"MILK,BUTTERMILK,DRIED",387,34.3,5.78,49,49,69,517,0.3,1184,3.598,1592,5.7,0.1,0.5
1095,"MILK,CND,COND,SWTND",321,7.91,8.7,54.4,54.4,34,127,0.19,284,5.486,371,2.6,0.16,0.2
1096,"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",134,6.81,7.56,10.04,10.04,29,106,0.19,261,4.591,303,1.9,0.14,2
1097,"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",78,7.55,0.2,11.35,11.35,4,115,0.29,290,0.121,332,1.2,0,2
1102,"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",83,3.17,3.39,10.34,9.54,12,60,0.24,112,2.104,167,0.9,0.07,1.3
1103,"MILK,CHOC,FLUID,COMM,RED FAT",76,2.99,1.9,12.13,9.55,8,66,0.24,109,1.177,169,0,0.04,1.2
1104,"MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D",63,3.24,1,10.44,9.94,3,61,0.27,116,0.616,170,0.9,0.02,1.1
1105,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",77,3.52,2.34,10.74,9.66,8,44,0.42,114,1.431,197,0.2,0.03,1.1
1106,"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",69,3.56,4.14,4.45,4.45,11,50,0.05,134,2.667,204,1.3,0.07,1.3
1107,"MILK,HUMAN,MATURE,FLUID",70,1.03,4.38,6.89,6.89,14,17,0.03,32,2.009,51,5,0.08,0.1
1108,"MILK,INDIAN BUFFALO,FLUID",97,3.75,6.89,5.18,,19,52,0.12,169,4.597,178,2.3,,
1109,"MILK,SHEEP,FLUID",108,5.98,7,5.36,,27,44,0.1,193,4.603,137,4.2,,
1110,"MILK SHAKES,THICK CHOC",119,3.05,2.7,21.15,20.85,11,111,0.31,132,1.681,224,0,0.05,1
1111,"MILK SHAKES,THICK VANILLA",112,3.86,3.03,17.75,17.75,12,95,0.1,146,1.886,183,0,0.05,1.2
1112,"WHEY,ACID,FLUID",24,0.76,0.09,5.12,5.12,1,48,0.08,103,0.057,143,0.1,0,
1113,"WHEY,ACID,DRIED",339,11.73,0.54,73.45,73.45,3,968,1.24,2054,0.342,2289,0.9,0,0
1114,"WHEY,SWEET,FLUID",27,0.85,0.36,5.14,5.14,2,54,0.06,47,0.23,161,0.1,0,
1115,"WHEY,SWEET,DRIED",353,12.93,1.07,74.46,74.46,6,1079,0.88,796,0.684,2080,1.5,0.02,0
1116,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",61,3.47,3.25,4.66,4.66,13,46,0.05,121,2.096,155,0.5,0.06,0.1
1117,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",63,5.25,1.55,7.04,7.04,6,70,0.08,183,1,234,0.8,0.03,0
1118,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",56,5.73,0.18,7.68,7.68,2,77,0.09,199,0.116,255,0.9,0,0
1119,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",85,4.93,1.25,13.8,13.8,5,66,0.07,171,0.806,219,0.8,0.02,0
1120,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",99,3.98,1.15,18.64,18.64,5,53,0.06,138,0.742,177,0.6,0.02,0
1121,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",102,4.37,1.08,19.05,19.05,4,58,0.07,152,0.697,195,0.7,0.02,0
1122,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",105,4.86,1.41,18.6,,6,65,0.07,169,0.909,216,0.7,,
1123,"EGG,WHL,RAW,FRSH",143,12.56,9.51,0.72,0.37,372,142,1.75,56,3.126,138,0,1.05,2
1124,"EGG,WHITE,RAW,FRESH",52,10.9,0.17,0.73,0.71,0,166,0.08,7,0,163,0,0,0
1125,"EGG,YOLK,RAW,FRSH",322,15.86,26.54,3.59,0.56,1085,48,2.73,129,9.551,109,0,2.58,5.4
1126,"EGG,YOLK,RAW,FROZEN",303,15.5,25.6,1.15,0.51,945,67,3.34,138,7.82,118,0,2.49,5.2
1127,"EGG,YOLK,RAW,FRZ,SUGARED",307,13.8,22.75,10.8,,959,67,3.14,123,6.97,103,0,2.77,5.8
1128,"EGG,WHL,CKD,FRIED",196,13.61,14.84,0.83,0.4,401,207,1.89,62,4.323,152,0,1.31,2.2
1129,"EGG,WHL,CKD,HARD-BOILED",155,12.58,10.61,1.12,1.12,373,124,1.19,50,3.267,126,0,1.03,2.2
1130,"EGG,WHOLE,COOKED,OMELET",154,10.57,11.66,0.64,0.31,313,155,1.48,48,3.319,117,0,1.29,1.7
1131,"EGG,WHL,CKD,POACHED",143,12.51,9.47,0.71,0.37,370,297,1.75,56,3.113,138,0,1.04,2
1132,"EGG,WHL,CKD,SCRMBLD",149,9.99,10.98,1.61,1.39,277,145,1.31,66,3.331,132,0,1.15,1.8
1133,"EGG,WHOLE,DRIED",594,47.35,40.95,4.95,3.08,1507,523,6.79,231,12.727,493,0,3.88,8
1134,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",615,48.17,43.95,2.38,,2017,548,8.28,222,13.198,515,0,,
1135,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",351,76.92,0.04,4.17,4.17,0,1156,0.23,83,0,1042,0,0,
1136,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",376,82.4,0.04,4.47,4.47,0,1238,0.24,89,0,1116,0,0,0
1137,"EGG,YOLK,DRIED",666,34.25,55.8,3.6,3.6,2052,135,5.42,284,17.154,244,0,5.42,11.4
1138,"EGG,DUCK,WHOLE,FRESH,RAW",185,12.81,13.77,1.45,0.93,884,146,3.85,64,3.681,222,0,1.34,1.7
1139,"EGG,GOOSE,WHOLE,FRESH,RAW",185,13.87,13.27,1.35,0.94,852,138,3.64,60,3.595,210,0,1.29,1.7
1140,"EGG,QUAIL,WHOLE,FRESH,RAW",158,13.05,11.09,0.41,0.4,844,141,3.65,64,3.557,132,0,1.08,1.4
1141,"EGG,TURKEY,WHL,FRSH,RAW",171,13.68,11.88,1.15,,933,151,4.1,99,3.632,142,0,,
1144,"EGG SUBSTITUTE,POWDER",444,55.5,13,21.8,21.8,572,800,3.16,326,3.766,744,0.8,1.26,0
1145,"BUTTER,WITHOUT SALT",717,0.85,81.11,0.06,0.06,215,11,0.02,24,51.368,24,0,2.32,1.5
1146,"CHEESE,PARMESAN,SHREDDED",415,37.86,27.34,3.41,0.9,72,1696,0.87,1253,17.37,97,0,0.25,0.5
1151,"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34,3.37,0.08,4.96,5.09,2,42,0.03,122,0.051,156,0,0.01,0
1152,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",56,3.95,1.98,5.49,,8,59,0.06,143,1.232,182,1.1,,
1153,"MILK,CND,EVAP,W/ VIT A",134,6.81,7.56,10.04,,29,106,0.19,261,4.591,303,1.9,,
1154,"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",362,36.16,0.77,51.98,51.98,20,535,0.32,1257,0.499,1794,6.8,0,11
1155,"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",358,35.1,0.72,52.19,52.19,18,549,0.31,1231,0.47,1705,5.6,0.01,0
1156,"CHEESE,GOAT,HARD TYPE",452,30.52,35.59,2.17,2.17,105,346,1.88,895,24.609,48,0,0.31,0.7
1157,"CHEESE,GOAT,SEMISOFT TYPE",364,21.58,29.84,2.54,2.54,79,515,1.62,298,20.639,158,0,0.26,0.5
1159,"CHEESE,GOAT,SOFT TYPE",268,18.52,21.08,0.89,0.89,46,368,1.9,140,14.575,26,0,0.18,0.4
1160,"EGG,YOLK,RAW,FRZ,SALTED",274,14,23,1.6,,955,3780,3.75,114,7.028,117,0,2.8,5.9
1161,"CHEESE SUB,MOZZARELLA",248,11.47,12.22,23.67,23.67,0,685,0.4,610,3.711,455,0.1,0.11,0
1163,CHEESE FONDUE,229,14.23,13.47,3.77,,45,132,0.39,476,8.721,105,0,,
1164,"CHEESE SAU,PREP FROM RECIPE",197,10.33,14.92,5.48,0.19,38,493,0.35,311,8.034,142,0.6,0.09,1
1165,"CHEESE,MEXICAN,QUESO ANEJO",373,21.44,29.98,4.63,4.63,105,1131,0.47,680,19.033,87,0,0.26,0.5
1166,"CHEESE,MEXICAN,QUESO ASADERO",356,22.6,28.26,2.87,2.87,105,655,0.51,661,17.939,86,0,0.24,0.5
1167,"CHEESE,MEXICAN,QUESO CHIHUAHUA",374,21.56,29.68,5.56,5.56,105,617,0.47,651,18.843,52,0,0.26,0.5
1168,"CHEESE,LOFAT,CHEDDAR OR COLBY",173,24.35,7,1.91,0.52,21,612,0.42,415,4.342,66,0,0.06,0.1
1169,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",398,24.35,32.62,1.91,0.49,100,21,0.72,703,20.768,112,0,0.28,0.6
1171,"EGG,WHOLE,RAW,FROZEN",148,11.95,10.2,1.05,,432,133,1.85,59,3.147,130,0,,
1172,"EGG,WHITE,RAW,FROZEN",47,9.8,0,1.05,,0,158,0.05,7,0,136,0,,
1173,"EGG,WHITE,DRIED",382,81.1,0,7.8,5.4,0,1280,0.15,62,0,1125,0,0,
1174,"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",50,3.3,1.98,4.8,5.06,8,47,0.02,120,1.257,140,0.2,0.03,0
1175,"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",42,3.37,0.97,4.99,5.2,5,44,0.03,125,0.633,150,0,0.01,0
1178,"SOUR CREAM,REDUCED FAT",181,7,14.1,7,0.3,35,70,0.06,141,8.7,211,0.9,0.4,0.3
1179,"SOUR CREAM,LIGHT",138,3.5,10.6,7.1,0.22,35,71,0.07,141,6.6,212,0.9,0.3,0.2
1180,"SOUR CREAM,FAT FREE",74,3.1,0,15.6,0.39,9,141,0,125,0,129,0,0,0
1182,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",282,27.2,18.3,2,0.58,56,725,0.13,905,11.58,93,0,0.16,0.3
1184,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",43,3.86,0.18,7.5,7.5,2,59,0.12,143,0.116,177,1.1,0,0
1185,"PARMESAN CHS TOPPING,FAT FREE",370,40,5,40,1.5,20,1150,5,800,3.11,600,0,0.04,0
1186,"CHEESE,CREAM,FAT FREE",105,15.69,1,7.66,5.48,12,702,0.19,351,0.644,278,0,0.02,0
1187,"YOGURT,CHOC,NONFAT MILK",112,3.53,0,23.53,14.97,1,135,0.42,88,0,339,0,0,0
1188,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,276,12,21,9.2,6.7,75,1638,0.19,359,13.1,240,0.4,,
1189,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,215,16.3,9.5,16.2,8.2,35,1705,0.16,418,6.4,297,0.4,,
1190,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,148,22.7,1,11.7,6.7,16,1298,0.05,712,0.7,236,0.2,,
1191,KRAFT VELVEETA PAST PROCESS CHS SPRD,303,16.3,22,9.8,8.1,80,1499,0.18,466,14.4,335,0.2,,
1192,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,222,19.6,10.6,11.8,8.5,42,1586,0.14,574,7.1,345,0.1,,
1193,KRAFT BREAKSTONE'S RED FAT SOUR CRM,152,4.5,12,6.5,6.4,50,59,0.06,161,7.6,210,1.1,,
1194,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,91,4.7,1.3,15.1,7.2,9,72,0.05,141,0.8,219,1.2,,
1195,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),96,3.8,0.8,18.2,17.4,9,52,0.1,125,0.5,192,0,,
1196,KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),108,3.2,0.8,21.9,19.6,9,45,0.11,91,0.5,151,0,,
1197,KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),102,3.8,0.9,19.9,17.2,9,55,0.13,108,0.5,177,0,,
1198,KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),55,3.4,0.2,9.9,7.7,5,45,0.11,95,0.1,146,0.6,,
1199,"CREAM,HALF & HALF,FAT FREE",59,2.6,1.4,9,5,5,100,0,96,0.841,206,0.7,0.04,0
1200,REDDI WIP FAT FREE WHIPPED TOPPING,149,3,5,25,16,16,72,0.03,108,2.869,108,0,0.09,0
1202,"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",78,2.99,1.9,12.13,9.55,8,66,0.24,194,1.177,123,0,0.04,
1203,"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",105,4.86,1.41,18.6,2.9,6,58,0.07,152,0.909,194,0.7,0.06,0
1204,"CHEESE,PARMESAN,DRY GRATED,RED FAT",265,20,20,1.37,0,88,1529,0.9,1109,13.317,125,0,0.17,0.4
1205,"CREAM SUB,FLAV,LIQ",251,0.69,13.5,35.07,33.04,0,80,0.59,6,2.635,96,0,1.58,0
1206,"CREAM SUB,FLAV,PDR",498,0.68,21.47,75.42,58.01,0,196,0.63,5,19.463,90,0,0.41,0
1208,"CHEESE,PROVOLONE,RED FAT",274,24.7,17.6,3.5,0.55,55,876,0.52,756,11.3,138,0,0.15,0.3
1209,"CHEESE,MEXICAN,BLEND,RED FAT",282,24.69,19.4,3.41,0.56,62,776,0.13,1146,11.58,93,0,0.17,0.4
1210,"EGG MIX,USDA CMDTY",555,35.6,34.5,23.97,2.46,975,576,3.23,171,10.305,373,,2.04,7.4
1211,"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",61,3.15,3.27,4.78,5.05,10,43,0.03,113,1.865,132,0,0.07,0.1
1212,"MILK,DRY,WHL,WO/ ADDED VITAMIN D",496,26.32,26.71,38.42,38.42,97,371,0.47,912,16.742,1330,8.6,0.58,0.5
1214,"MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D",135,6.81,7.56,10.04,10.04,29,106,0.19,261,4.591,303,1.9,0.16,0.1
1215,"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D",240,17.6,14.1,10.6,8.02,53,1587,0.2,529,8.85,330,0,0.27,5.3
1216,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",99,3.98,1.15,18.64,18.64,5,53,0.06,138,0.742,177,0.6,0.02,1.3
1217,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",102,4.37,1.08,19.05,19.05,4,58,0.07,152,0.697,195,0.7,0.02,1.3
1218,"YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D",95,4.4,0.2,19,19,2,58,0.07,152,0.119,194,0.7,0.06,1.3
1219,"YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D",105,4.86,1.41,18.6,2.9,6,58,0.07,152,0.909,194,0.7,0.06,1.3
1220,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ,FORT W/ VIT D",85,4.93,1.25,13.8,13.8,5,66,0.07,171,0.806,219,0.8,0.02,1.2
