ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sugar,Cholesterol,Sodium,Iron,Calcium,SaturatedFat,Potassium,VitaminC,VitaminE,VitaminD
6322,"CAMPBELL SOUP COMPANY,CAMPBELL'S MUSHROOM GRAVY",34,0,1.69,5.08,1.69,8,475,,,0,,,,
6323,"CAMPBELL SOUP COMPANY,CAMPBELL'S FAT FREE TURKEY GRAVY",33,1.67,0,6.67,,8,483,,,0,,,,
6324,"CAMPBELL SOUP COMPANY,CAMPBELL'S MICROWAVABLE BF GRAVY",42,1.69,1.69,5.08,1.69,0,475,0,0,0.847,,0,,
6325,"CAMPBELL SOUP COMPANY,CAMPBELL'S MICROWAVABLE CHICK GRAVY",67,0,5,5,1.67,8,433,0,0,1.667,,0,,
6326,"CAMPBELL SOUP COMPANY,CAMPBELL'S TURKEY GRAVY",42,1.69,1.69,5.08,1.69,0,458,0,0,0.847,,0,,
6327,"CAMPBELL SOUP COMPANY,FRANCO-AMERICN FAT FR SLW RST BF GRAVY",34,1.69,0,5.08,,8,508,,,0,,,,
6328,"CAMPBELL COMPANY,FRANCO-AMERICAN FT FE SLW RST CHICK GRVY",34,1.69,0,6.78,,8,424,,,0,,,,
6329,"CAMPBELL SOUP COMPANY,FRANCO-AMERICAN SLOW RST BF GRAVY",42,1.69,0.85,5.08,0,8,525,0,0,0,,0,,
6330,"CAMPBELL SOUP COMPANY,FRANCO-AMERICAN SLOW RST CHICK GRAVY",34,1.69,0.85,5.08,,8,407,,,0,,,,
6331,"CAMPBELL SOUP COMPANY,FRANCO-AMERICAN SLOW RST TURKEY GRAVY",42,1.69,0.85,6.78,,8,542,,,0,,,,
6332,"CAMPBELL SOUP COMPANY,CAMPBELL'S MICROWAVABLE TURKEY GRAVY",42,1.67,1.67,5,1.67,0,450,0,0,0.833,,0,,
6333,"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF BROCCOLI SOUP,COND",73,1.61,4.03,9.68,2.42,4,605,0.29,16,1.21,77,1,,
6334,"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF CELERY SOUP,COND",73,0.81,4.84,7.26,0.81,4,516,0,16,0.806,460,0,,
